video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
MbfZ3DFbqDU,2,1,0.5,73.5,112.7,83.4,0.151,0.0266,0.098,0.1079
e8uDjt6TDwA,0,0,0,45.5,76.4,76.1,0.0239,0.0087,0.0296,0
ZUYRjlxC6-8,4,2,0.5,52.9,189.5,58.1,0.0337,0.0029,0.0671,0.392
cbb7ewKomig,1,0,0.0,125.0,163.8,74.5,0.0742,0.0398,0.0733,0.0092
XjZv_kzQ_H0,3,1,0.333,73.4,156.4,70.8,0.0961,0.0017,0.0552,0.1436
2Zkq8pLg0lA,3,0,0.0,41.9,149.9,57.8,0.0468,0.01,0.031,0.1392
viR_0wlYWe0,2,1,0.5,138.5,132.2,69.2,0.0479,0.2168,0.0219,0.0821
KPu1nGJqEQA,2,0,0.0,91.7,151.9,70.0,0.2054,0.1294,0.0251,0.0217
hVP1rWcJlco,0,0,0,49.6,133.5,82.8,0.0314,0.0245,0.093,0
7UQIGW6iltY,0,0,0,81.5,182.4,81.8,0.2495,0.0311,0.0638,0
eWjRmHvhihg,0,0,0,38.1,150.0,82.0,0.0762,0.0054,0.1038,0
pniYvnvmdiY,8,0,0.0,75.3,67.3,51.1,0.1653,0.0565,0.0649,0.0655
2PSTi1pRsq8,0,0,0,155.1,139.9,71.2,0.001,0.114,0.1162,0
-wyneUl95cU,3,0,0.0,126.5,179.7,69.0,0.0815,0.3282,0.0698,0.0191
G1OIePCg1XQ,1,0,0.0,63.8,114.4,74.8,0.1533,0.0118,0.1129,0.0479
4uwLhl3xZoQ,3,0,0.0,103.7,178.9,86.5,0.2384,0.0063,0.0682,0.1314
X-UQRwZI6xU,2,0,0.0,50.8,198.8,69.0,0.0623,0.0,0.1579,0.006
GhMdgMgvpJo,2,0,0.0,103.3,105.7,67.0,0.1728,0.0118,0.0692,0.0948
FGAseF35rr8,1,0,0.0,120.5,150.1,90.7,0.3067,0.2173,0.0209,0.139
i2mcX2NaepQ,1,1,1.0,64.4,115.0,63.6,0.1948,0.0143,0.0195,0.2101
9KBP8ZETpkQ,8,0,0.0,93.5,132.2,57.2,0.023,0.0684,0.1716,0.0637
sGYAJmdJglE,4,0,0.0,60.4,188.2,74.8,0.0514,0.0188,0.1239,0.0576
36r-8ccojbY,3,0,0.0,109.3,149.5,71.9,0.0534,0.0406,0.1628,0.1879
k-7pvtiRGpE,0,0,0,71.8,181.7,78.7,0.0733,0.0023,0.0312,0
pJmrlvXJeHc,4,0,0.0,116.5,120.3,77.4,0.3929,0.0025,0.0064,0.066
DBM1sCIOspA,1,0,0.0,81.1,153.6,82.0,0.1787,0.0145,0.0574,0.0096
V3pqVGUVZ_g,5,0,0.0,65.4,136.2,74.9,0.0171,0.0063,0.0549,0.0266
DmesSbzmoMs,2,0,0.0,103.9,178.0,84.8,0.2267,0.0107,0.085,0.0806
vo4Hp1yRoak,0,0,0,73.3,78.3,60.5,0.1644,0.0114,0.0107,0
4JUXK3YGGmI,1,0,0.0,172.5,164.5,80.0,0.0103,0.1763,0.0989,0.0032
FykDiZB04Zs,0,0,0,95.2,145.5,80.2,0.0538,0.0199,0.1317,0
O4EqFMBndmw,1,0,0.0,33.3,169.5,59.1,0.0009,0.0013,0.0544,0.0037
J44jQ-FswOA,3,2,0.667,86.6,136.8,70.3,0.1787,0.1187,0.0245,0.355
Vd6JyxxpcWs,2,1,0.5,77.0,176.3,65.1,0.1003,0.1117,0.0577,0.2194
AmZ7kCfQ1ok,0,0,0,42.0,137.5,89.1,0.0206,0.0149,0.0822,0
Mau6YPR57_M,0,0,0,92.4,67.5,53.1,0.0344,0.1102,0.0621,0
uA0jE78e-zo,3,0,0.0,78.6,104.1,58.9,0.3247,0.0,0.0124,0.0558
CtRhieRj4Vs,2,1,0.5,43.9,149.6,71.9,0.0127,0.0111,0.0243,0.1189
YY8MNOnE8bg,0,0,0,61.2,123.6,69.9,0.0133,0.0097,0.0632,0
l6-WOb5hyQs,2,1,0.5,107.9,172.3,79.6,0.1369,0.0881,0.086,0.0366
E0BVFjfDm3c,0,0,0,55.3,78.6,75.3,0.0127,0.0028,0.1195,0
k9kBQc9nFew,1,1,1.0,70.9,183.9,84.3,0.0567,0.0009,0.0197,0.1518
vRgQLNqqRiM,6,0,0.0,52.0,118.9,73.3,0.0014,0.0582,0.0276,0.0821
yXKJVa7ueFs,2,0,0.0,82.6,131.5,72.9,0.036,0.0691,0.1469,0.0175
FYOm8X8s9Qs,1,1,1.0,112.6,122.6,66.1,0.3912,0.1025,0.0262,0.2595
x_8Pyg5ASrw,0,0,0,43.6,173.1,43.2,0.0083,0.0085,0.0236,0
r4UvCKfG5_A,1,0,0.0,164.3,77.7,53.7,0.5898,0.0016,0.0096,0.0559
1SlslrMCbWA,4,0,0.0,64.1,159.9,70.8,0.0891,0.0192,0.0737,0.0622
g8yc6KnQQT4,1,1,1.0,79.5,148.3,77.7,0.0882,0.1177,0.0278,0.3059
