channel,category,is_family,viral_video_idx,viral_views,pre_drift_mean,post_drift_mean,drift_change
dailybumps,family,1,549,11447077,0.1337737,0.10453449,-0.029239208
dailybumps,family,1,647,10062129,0.06183108,0.09971492,0.03788384
dailybumps,family,1,651,9078370,0.051178407,0.13274047,0.08156206
dailybumps,family,1,691,9859565,0.10982156,0.18032315,0.070501596
dailybumps,family,1,706,26795253,0.17006853,0.12911722,-0.04095131
dailybumps,family,1,791,13673381,0.1264913,0.10568092,-0.020810373
dailybumps,family,1,808,17087183,0.11208303,0.16141993,0.049336895
dailybumps,family,1,818,11454872,0.15598437,0.056143083,-0.09984129
dailybumps,family,1,843,14079743,0.14003752,0.14836583,0.008328304
dailybumps,family,1,868,12080718,0.14571568,0.13305974,-0.012655944
dailybumps,family,1,879,9251412,0.13305974,0.077855125,-0.055204615
dailybumps,family,1,888,12102562,0.09051319,0.15409473,0.063581534
dailybumps,family,1,892,13329253,0.104046725,0.14429882,0.040252097
dailybumps,family,1,920,28457866,0.12912658,0.13135438,0.002227798
dailybumps,family,1,947,9859934,0.1782931,0.1172565,-0.061036594
dailybumps,family,1,965,15098119,0.21278839,0.14802366,-0.06476472
dailybumps,family,1,969,9985105,0.18839613,0.13360591,-0.054790214
dailybumps,family,1,981,23016814,0.1536427,0.22789034,0.07424764
